tweet	label	language
hhhhhhhhhhhhhhhhhhhhhh ana ga3ma sma3tt ach kant kat9oll kanrakazz ghir m3a zineb oyassmin ochirine	neutral	ary
hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila	neutral	ary
: أتفهم العثماني وأتفهم الجدل الشعبي. الحل: حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…	neutral	ary
كان افظل حاكم عربي'	positive	ary
ماريانو راخوي : خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,	neutral	ary
كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا #ممصوتش	negative	ary
مليلية.. رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا: تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,	neutral	ary
dakchi alach hamdoulah mereta7 et en bonne santé 😂	positive	ary
تحياتي أستاذة منيب	positive	ary
"ولا انا متحزب ولكن حزب العدالة """""""""""""""" بنكيران"""""""""""""""" أخبت خلق الله"	negative	ary
غير التحت ، الفوق لا 😂	neutral	ary
ترح و ترجع بالسلام ياحبيبي'	positive	ary
اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب'	positive	ary
ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,	neutral	ary
wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo	negative	ary
الله أكبر والعزة لله الله يحميكم وينصركم'	positive	ary
السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة. و إشهار مجاني للسياحة بالمغرب كما أشار المقال. أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب. ارحموا هذا البلد السعيد.'	positive	ary
مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,	neutral	ary
هذشى كاين الاغلبية ديال الشعب  عارف الله  غالب	negative	ary
conane likid3ambety o abdsalam dar bareh hamla 9alek hejmo 3la had siyed bach ibtissam t9dar dir 3ando aflam	negative	ary
تقرير: مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,	neutral	ary
machi darori tkhayel m3aya bnek de 5 ans chiyar chi lo3ba jatek nel 3aynina dabezti m3a jara konti kharja men bab we weld l7awma tira fe ballon jak nel 3aynina mohim tzer9atlek l3aynina we sab7a khadama had make up tutorial ye9dar ynef3ek	negative	ary
الحكومة عطات هدايا جديدة للمقاولات الوطنية لي كتشد الصفقات العمومية..منها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا,	neutral	ary
ان لله وان اليه راجعون ولا حول ولاقوة الابالله العلي العظيم'	negative	ary
الدكتور التازي واللي معاه تابعوهم بتهمة “الاتجار فالبشر”.. والقضية عندهم حامضة بزاف,	neutral	ary
تبارك الله على سي حكيمي بالتوفيق'	positive	ary
شكرا على المجهودات ....اتمنى لو كانت الترجمة'	positive	ary
hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm	positive	ary
خاص. تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة من طرف أستاذ ففاس,	neutral	ary
لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال'	negative	ary
شكرًا لكم بزاف .. قريت جميع التعاليق و أسعدني تفاعلكم ♥️ أسعدكم الله 🌸﻿'	positive	ary
انا متافقة معاك امين جطيوي ماتبدل صاحبك غي ما كرف هاحنا غادي نشوفو هاد الحكومة اش غادي دير	positive	ary
و أسكنه فسيــــح جناتــــــــه، إن لله و إن إليــه راجعــون'	negative	ary
واخيرا انزاح راس من رؤوس الخرافات و الاحلام المنمقة و الكلمات الفضفاضة فهو لم يكن يوما صديقا للشعب ولا ودودا به ولا مدافعا غن مسكين بل هو نسخة من فتح الله اولعلو في صورة متسيلم على وزن دون كشوط يحارب الاشباح والتماسيح والعفاريت ...والمساكين والشعب المسحوق بالفاظ لا تمت لرجل سياسة لا من قريب ولا من بعيد فهو دمية مهرجة فقط فلا بارك الله فيك ولا في من صوت عليك'	negative	ary
rfa3ti rasna w rfa3ti rayat bladna lah yhfdek wykhalik lina jtm ♥♥	positive	ary
لكن للأسف الشديد الرشوة استفحلت في مجتمعنا وأصبحت شيئا عاديا'	negative	ary
