tweet	label	language
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd	negative	ibo
@user Chineke nna kezi mgbe ole???	negative	ibo
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW	negative	ibo
@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝	negative	ibo
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG	negative	ibo
@user Ezigbo onye iberibe	negative	ibo
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v	negative	ibo
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp	negative	ibo
@user Or ma agbalie gi elu🙄	negative	ibo
@user O dikwa egwu😂😂😂😂	negative	ibo
@user Lmao Awka na ebi ajo ndu	negative	ibo
@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️	negative	ibo
@user Rapụ ndị nzuzu	negative	ibo
Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0	negative	ibo
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF	negative	ibo
@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi	negative	ibo
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ	negative	ibo
@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩	negative	ibo
@user Zuzuru Getaway from here... Onye nkogheri...	negative	ibo
@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..	negative	ibo
@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a	negative	ibo
@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi	negative	ibo
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae	negative	ibo
@user O siri nke ozo na beer adiro ya mma na aru	negative	ibo
@user @user 😂 😂 ya ehh, m nweta gị...	negative	ibo
@user Maka Chi. Na ochichi Buhari a? Ka mmadụ na-eje eyi udi akwa ahụ 😂🤣	negative	ibo
I na atupuru ndi nzuzu onu https://t.co/CsYL26qUIB	negative	ibo
@user @user Nzuzu ya di few mush!	negative	ibo
@user aunty mi, e ne we iwe oku oh	negative	ibo
@user @user Ị na ańaa ifeanyi ọnụ ọjọọ nti	negative	ibo
@user @user biko dutelu anyi mmadu from mgbago inu😂	negative	ibo
@user Haha. Ele gini? Nwanyi, Kedu ubosi e subakwa imo? 😒	negative	ibo
@user Ike guru m o	negative	ibo
@user @user Nsogbu digodi next season for Arsenal😂	negative	ibo
@user Guy idikwanu ajoo Wicked😆😆😆😆 Afa ehhhhh.... Egwu dikwa	negative	ibo
@user Ọ bụghị asị... Mana ole n'ime ha ka isi dị mma??	negative	ibo
Ezigbo Nonsense lmao https://t.co/rxHBrc4jtJ	negative	ibo
@user Mechie onu osiso. Iti boli bor	negative	ibo
Kilikpa lacha gi anya ebe-ahu idiot	negative	ibo
@user @user @user @user Oge ahu gbuo gi dia.. Esi beegi eje bee onye kwanu..	negative	ibo
Chineke nna ekwekwala ihe ọjọọ https://t.co/hEGxXeXEnC	negative	ibo
@user @user As in ehn. Ndi mmadu enwero zi Obi ebele. 😂	negative	ibo
Luiz efulefu mmadu	negative	ibo
Ndị ala ndi ala Lele lekwa ha https://t.co/ChVN2EX35Q	negative	ibo
@user O di na iwu mana aga azota ana wee zoba ute, Onowu. Kee mgbe ana akpo anyi oku?	negative	ibo
@user Don't oo Maka ndu gi😂😂😂😂😂😂	negative	ibo
@user Ndi mbaise na enyekari nsogbu 😂	negative	ibo
@user @user 😂😂😂 Osi no privacy. This my Awka-Etiti sister ina enye Nsogbu ooo 😫😫	negative	ibo
E be Mbaise road di otuh, kedu ka Umuahia GA di🤔 👀👀 https://t.co/moNw0lmHd2	negative	ibo
@user @user @user Ibu ezigbo okpo 3buka 🤣	negative	ibo
@user Ibu onye ara, anuofia, allika, nkiita ara, eezi, aakuodu	negative	ibo
@user Ike gwuru ndi ochichi anyi	negative	ibo
@user @user Thunder nke sị na Abaa okwia😛😛😛	negative	ibo
@user Ezigbo Prof ndi ala, lol IK ... ☹️	negative	ibo
@user Chucks de chef. Afọ asakwana nwoke mmadu🤣🤣🤣	negative	ibo
You see umuada? Ndi a bu ndi akpo oh! 😭 https://t.co/brk1e5qBSP	negative	ibo
@user @user Akuko aburo obele ya. 🤦🏼‍♀️	negative	ibo
@user A gwasịa m gị 🙈	negative	ibo
@user 😂😂😂🤣 Isim hudo ya ama kwa... Nna eeh.. Once mmili malu kpam na ala uzo etiwa abuo maka chii... Haa jidelu uzo dibu obelle nma kpuchasia unto say faa ga etelu anyi ya since 2018 ooh.. Erosion welu nwayo na acho ka ojide uzo mebisia	negative	ibo
@user @user @user Nne, jide nke I ji. Ifunanya mu nwere n'ebe I no na-afu afu ka gari oñuru 😀	negative	ibo
bitch emetụla ego m aka. Achọghị m nsogbu	negative	ibo
Mechie onu biko https://t.co/xbwypM9ZfU	negative	ibo
Nsogbu di kwa. https://t.co/VOg1D5j0tD	negative	ibo
@user @user Men na ewe iwe okwu.	negative	ibo
Aso mmiri ebe nile. Hian. https://t.co/eyhcpzCha9	negative	ibo
@user Onye ofe mmanu😒	negative	ibo
@user @user Ina atupuru onye ahu onu	negative	ibo
Odika ezigbo ala ji onye nzuzuaa aka!😒😒😒 Mtchewwwww	negative	ibo
@user Obi mmadụ ga justu gbáwá!	negative	ibo
@user Aka akpaghi ha n'oge a, otu ụbọchị aka ekwensu akpara ha n'otu n'otu.	negative	ibo
@user Are you still in that spirit? Kwuo ezi okwu ka ihere mee ekwensu!	negative	ibo
@user @user Anuofia. Thunder gbagbuo gi ebe ahu ino you demon	negative	ibo
Aunty Oby egbue mmadu 😭😂😂😂😂 https://t.co/yFbRwajMDJ	negative	ibo
@user @user @user @user @user @user @user Okwa ehh, ya bụ mmili ga agba gbukwa gị one day	negative	ibo
@user O. D. Egwu , O. T. Sumi	negative	ibo
Ala Pa ala apa? Onye para ala ala apagbuo ya	negative	ibo
@user @user He will argue that he has changed but anya anya ka mu na-elezi uwa na ndi bi ya n'ime.	negative	ibo
#Erica and #Tolanibaj Ndị asịrị gbakaa ute! 🚶‍♂️🚶‍♂️🚶‍♂️🚶‍♂️ #BBNaija	negative	ibo
@user Lolz Wetue mmuo gi nna.. ya bu ihe gwuru ike mana aga eme kwanu gini..	negative	ibo
Nengi onye mgbu. https://t.co/422keSltmC	negative	ibo
@user O na ewute m. Ha me chakwa tuoro buhari owu kwa ndi no n'ulo ga kpo ndi na ru oru beke ka ha nyere ha aka. Ka mgbe Buhari batara na ochiochi obodo a, gwa m ofu mkpuru ihe o mere n'ala igbo? Ihe o ma wu i buru ndi na gba mgbo ka ha bia gbara anyi egwu eke.😠	negative	ibo
@user @user @user @user @user @user @user @user @user @user @user Gbagbue gii Semi umu ikporo ogbe	negative	ibo
Afurum gi na isi https://t.co/kTuNzzDNjV	negative	ibo
@user @user Nna, Obodo bu igwe.	negative	ibo
@user @user @user Lol onye zuzu numba wan. Thank you!	negative	ibo
Akuko gi adiro nma 😒😒😭😭 https://t.co/qe70haYsjG	negative	ibo
@user Nne.. isi adirokwa gi mma o	negative	ibo
@user Chai😂 ina acho onye i ga araputa😂😂	negative	ibo
